Bus #,Bus Capacity,Destination1,Address1,Leader1,Size1,Accessibility Needs1,Destination2,Address2,Leader2,Size2,Accessibility Needs2,Destination3,Address3,Leader3,Size3,Accessibility Needs3,Bus Accessible,Seats Used,Seats Remaining,Travel Time(minutes)
1,25,Shadle Park,5508 N Alberta Street  Spokane  WA,Gady,22,Yes,,,,,,,,,,,Yes,22,3,12
2,50,Second Harvest,1234 E Front Avenue  Spokane  WA,Pierce,13,No,Spokane Furniture Bank,919 E Trent Avenue  Spokane  WA,Jones,28,No,,,,,,No,41,9,33
3,50,Liberty Park Child Development Center,1417 E Hartson  Spokane  WA,Rempe,21,No,Volunteer Chore Services: O'Malley Apts,707 E Mission Avenue  Spokane  WA,Moyer,28,No,,,,,,No,49,1,31
4,50,Mission Community Outreach,1906 E Mission Avenue  Spokane  WA,Gady,25,No,Boys and Girls Club Northtown,544 E Providence Avenue  Spokane  WA,Jones,19,No,,,,,,No,44,6,24
5,50,Salvation Army,222 E Indiana  Spokane  WA,Pierce,27,No,Christ Kitchen,2410 N Monroe Street  Spokane  WA,Gady,13,No,,,,,,No,40,10,22
6,50,Ronald McDonald House,1015 W 5th Avenue  Spokane  WA,Cochran,23,No,First Presbyterian,318 S Cedar Street  Spokane  WA,Jones,27,No,,,,,,No,50,0,26
7,50,Volunteer Chore Services: Cathedral Plaza,1120 W Sprague Avenue  Spokane  WA,Trefry,17,No,Volunteer Chore Services: Fahy West,1523 W Dean Avenue  Spokane  WA,Rempe,19,No,Holmes,2600 W Sharp  Spokane  WA,Jones,13,No,No,49,1,28
8,50,Global Neighborhood,910 W Indiana Avenue  Spokane  WA,Bell,24,No,St. Margeret's - Hartson,101 E Hartson  Spokane  WA,Cochran,16,No,,,,,,No,40,10,26
9,50,Arc of Spokane,320 E Second Avenue  Spokane  WA,Trefry,27,No,Goodwill South,130 E 3rd Avenue  Spokane  WA,Brougher,21,No,,,,,,No,48,2,26
10,50,House of Charity,32 W Pacific Avenue  Spokane  WA,Jones,12,No,St. Anne's,25 W 5th Avenue  Spokane  WA,Pierce,12,No,St. Margeret's - Pacific,19 W Pacific Avenue  Spokane  WA,Jones,20,No,No,44,6,25
11,50,Rockwood,101 E Hawthorne Road  Spokane  WA,Rempe,14,No,Spokane International Academy,2706 E Queen Avenue  Spokane  WA,Alexander,21,No,Goodwill North,9832 N Nevada  Spokane  WA,Rempe,14,No,No,49,1,17
12,50,Youth For Christ Hillyard,4603 N Market  Spokane  WA,Rempe,24,No,St. Luke's,9706 N Division Street  Spokane  WA,Trefry,23,No,,,,,,No,47,3,18
13,50,Camp Dart-Lo,14000 N Dartford Drive  Spokane  WA,Brougher,24,No,SCRAPS,6815 E Trent Avenue  Spokane Valley  WA,Pierce,26,No,,,,,,No,50,0,35
14,50,Spokane Humane Society,6607 N Havana  Spokane  WA,Moyer,8,No,Our Place Ministries,1509 W College  Spokane  WA,Moyer,40,No,,,,,,No,48,2,35
15,50,Arc of Spokane Valley,10814 E Broadway Avenue  Spokane  WA,Tucker,24,No,The Hutton Settlement,9907 E Wellesley Avenue  Spokane  WA,Cochran,12,No,,,,,,No,36,14,34
16,50,Boys and Girls Club Mead,12509 N Market Street  Mead  WA,Pierce,17,No,Girl Scouts,1404 N Ash  Spokane  WA,Bell,13,No,,,,,,No,30,20,33
17,50,New Hope Resource Center,4211 E Colbert Road  Colbert  WA,Brougher,22,No,Peone,9103 E Peone Road  Mead  WA,Moyer,22,No,,,,,,No,44,6,27
18,50,Food For All,1635 W 26th Avenue  Spokane  WA,Jones,27,No,MAC,2316 W First Avenue  Spokane  WA,Pierce,12,No,,,,,,No,39,11,31
19,50,Lilac Services for the Blid,1212 N Howard Street  Spokane  WA,Moyer,27,Yes,HUB Sports Center,19619 E Cataldo Avenue  Liberty Lake  WA,Alexander,22,Yes,,,,,,Yes,49,1,40

