Group_Name,Number_Of_Students,Faculty_Leader,Accessibility,Address,City,State,Run_Flag
St. Margeret's - Hartson,16,Cochran,False,101 E Hartson, Spokane, WA,True
Rockwood,14,Rempe,False,101 E Hawthorne Road, Spokane, WA,True
Ronald McDonald House,23,Cochran,False,1015 W 5th Avenue, Spokane, WA,True
Arc of Spokane Valley,24,Tucker,False,10814 E Broadway Avenue, Spokane, WA,True
Volunteer Chore Services: Cathedral Plaza,17,Trefry,False,1120 W Sprague Avenue, Spokane, WA,True
Lilac Services for the Blid,27,Moyer,True,1212 N Howard Street, Spokane, WA,True
Second Harvest,13,Pierce,False,1234 E Front Avenue, Spokane, WA,True
Boys and Girls Club Mead,17,Pierce,False,12509 N Market Street, Mead, WA,True
Goodwill South,21,Brougher,False,130 E 3rd Avenue, Spokane, WA,True
Camp Dart-Lo,24,Brougher,False,14000 N Dartford Drive, Spokane, WA,True
Girl Scouts,13,Bell,False,1404 N Ash, Spokane, WA,True
Liberty Park Child Development Center,21,Rempe,False,1417 E Hartson, Spokane, WA,True
Our Place Ministries,40,Moyer,False,1509 W College, Spokane, WA,True
Volunteer Chore Services: Fahy West,19,Rempe,False,1523 W Dean Avenue, Spokane, WA,True
Food For All,27,Jones,False,1635 W 26th Avenue, Spokane, WA,True
St. Margeret's - Pacific,20,Jones,False,19 W Pacific Avenue, Spokane, WA,True
Mission Community Outreach,25,Gady,False,1906 E Mission Avenue, Spokane, WA,True
HUB Sports Center,22,Alexander,True,19619 E Cataldo Avenue, Liberty Lake, WA,True
Salvation Army,27,Pierce,False,222 E Indiana, Spokane, WA,True
MAC,12,Pierce,False,2316 W First Avenue, Spokane, WA,True
Christ Kitchen,13,Gady,False,2410 N Monroe Street, Spokane, WA,True
St. Anne's,12,Pierce,False,25 W 5th Avenue, Spokane, WA,True
Holmes,13,Jones,False,2600 W Sharp, Spokane, WA,True
Spokane International Academy,21,Alexander,False,2706 E Queen Avenue, Spokane, WA,True
First Presbyterian,27,Jones,False,318 S Cedar Street, Spokane, WA,True
House of Charity,12,Jones,False,32 W Pacific Avenue, Spokane, WA,True
Arc of Spokane,27,Trefry,False,320 E Second Avenue, Spokane, WA,True
New Hope Resource Center,22,Brougher,False,4211 E Colbert Road, Colbert, WA,True
Youth For Christ Hillyard,24,Rempe,False,4603 N Market, Spokane, WA,True
Boys and Girls Club Northtown,19,Jones,False,544 E Providence Avenue, Spokane, WA,True
Shadle Park,22,Gady,True,5508 N Alberta Street, Spokane, WA,True
Spokane Humane Society,8,Moyer,False,6607 N Havana, Spokane, WA,True
SCRAPS,26,Pierce,False,6815 E Trent Avenue, Spokane Valley, WA,True
Volunteer Chore Services: O'Malley Apts,28,Moyer,False,707 E Mission Avenue, Spokane, WA,True
Global Neighborhood,24,Bell,False,910 W Indiana Avenue, Spokane, WA,True
Peone,22,Moyer,False,9103 E Peone Road, Mead, WA,True
Spokane Furniture Bank,28,Jones,False,919 E Trent Avenue, Spokane, WA,True
St. Luke's,23,Trefry,False,9706 N Division Street, Spokane, WA,True
Goodwill North,14,Rempe,False,9832 N Nevada, Spokane, WA,True
The Hutton Settlement,12,Cochran,False,9907 E Wellesley Avenue, Spokane, WA,True

